Source	 English	Translation
DataEntry.frm - Caption	 New start distance	neue Anfangsentfernung
ClearLineScreen.frm - DisplayMessage	" No Capture Device, Please install a capture card and/or drivers."	"Keine Bilderfassungshardware vorhanden, bitte installieren Sie eine Bilderfassungskarte und/oder -Treiber"
PVReport4in1.frm - Caption	 No Of Panels	Anzahl der Panels
DataEntry.frm - DisplayMessage	 Not set.	nicht gesetzt
PVReportProfile.frm - Caption	 Observation Text here	hier Kommentartext
ControlsScreen.frm - ToolTipText	 Observations Report	Kommentarbericht
FisheyeFunctions.bas - DisplayMessage	 OFF	aus
FisheyeFunctions.bas - DisplayMessage	 ON	ein
ClearLineScreen.frm - Caption	 OnScreenText	Text auf dem Bildschirm
ControlsMain.frm - ToolTipText	 Open File	Datei öffnen
ClearLineScreen.frm - Caption	 Options	Optionen
ClearLineScreen.frm - DisplayMessage	 or above. Microsoft Direct X is currently 	oder höher. Microsoft Direct X ist zur Zeit
Registration.frm - Caption	 OR Contact Us at :	ODER setzen Sie sich mit uns in Verbindung :
DebugForm.frm - Caption	 Origin X	Ursprung X
DebugForm.frm - Caption	 Origin Y	Ursprung Y
ControlsReference.frm - Caption	 Outside Dia	Außendurchmesser
PipelineDetails.frm - Caption	 Outside Diameter	Außendurchmesser
PipelineDetails.frm - DisplayMessage	 Outside diameter must be numeric	Der Außendurchmesser muss ein numerischer Wert sein.
ClearLineScreen.frm - DisplayMessage	 Ovality	Ovalität
PVReportSingle.frm - Caption	 Ovality 'q' (as per ASTM F 1216 Standard Practice) as a percentage of original pipe versus distance	Prozentuale Verformung (q)* gegenüber dem ursprünglichen Rohrdurchmesser über der Zeit (Einzelbildnummer)
SonarConfig.frm - Caption	 Oversamples	Abstand der Messpunkte
PVReport4in1.frm - DisplayMessage	 Page	Seite
PVReportStoredInPVD.frm - Caption	 Page 1 of 2	Seite 1 von 2
PVReport4in1.frm - Caption	 Page: 1	Seite: 1
PVReportMultiProfile.frm - Caption	 Page: 1/1	Seite: 1/1
PVReport4in1.frm - Caption	 Page: 2	Seite: 2
ControlsScreen.frm - ToolTipText	 'Pan and Tilt' camera view	Schwenk- u. Neigekameraansicht
Fisheye.frm - Caption	 Parameter	Parameter
ControlsScreen.frm - ToolTipText	 Pause	Pause
PVGraphsKeyForm.frm - DisplayMessage	 Percentage variation in radius	prozentuale Abweichung des Radius
ControlsScreen.frm - ToolTipText	 Perpendicular line to main circle	Lot auf den Hauptkreis
PVReport4in1.frm - Caption	 Ph:	Tel:
Registration.frm - Caption	 Phone : 64 9 479 9901	Telefon: 64 9 479 9901
OptionsPage.frm - Caption	 Phone No.	Telefon-Nr.
AutoTune.frm - Caption	 Pickup Level	Aufnahmepegel
ClearLineScreen.frm - DisplayMessage	" Picture file is invalid, unable to open."	"ungültige Bilddatei, kann nicht geöffnet werden."
PVReportMultiProfile.frm - Caption	 Pipe Capacity Analysis Report	Analysebericht Rohrkapazität
PVReport4in1.frm - Caption	 Pipe Diameter:	Rohrdurchmesser:
PipelineDetails.frm - DisplayMessage	 Pipe length must be numeric	Die Rohrlänge muss ein numerischer Wert sein.
PVReport4in1.frm - Caption	 Pipe Length:	Rohrlänge
PVReport4in1.frm - Caption	 Pipe Material:	Rohrmaterial:
ControlsMain.frm - ToolTipText	 Pipeline Details	Haltungsdaten
PipelineDetails.frm - Caption	 Pipeline Length	Haltungslänge
ControlsScreen.frm - ToolTipText	" Play 3D back, press again to change speed"	"3D-Wiedergabe, zurück, noch einmal drücken, um die Geschwindigkeit zu ändern"
ControlsScreen.frm - ToolTipText	" Play 3D, press again to change speed"	"3D-Wiedergabe, noch einmal drücken, um die Geschwindigkeit zu ändern"
ControlsScreen.frm - ToolTipText	 Play/Pause	Wiedergabe/Pause
LanguageUtil.bas - DisplayMessage	 Please calibrate first.	Bitte zuerst die Kalibrierung ausführen.
OptionsPage.frm - DisplayMessage	 Please close the ClearLine Profiler application and restart to apply the change.	"Bitte die ClearLine-Anwendung schließen und neu starten, um die Änderung wirksam werden zu lassen."
ControlsScreen.frm - DisplayMessage	 Please ensure the main reference shape is centered.	"Stellen Sie bitte sicher, dass das Hauptbezugsprofil zentriert ist."
ClearLineScreen.frm - DisplayMessage	 Please enter internal pipe diameter first and calibrate the image.	Bitte zuerst den Rohrinnendurchmesser eingeben und dann das Bild kalibrieren.
Distance.frm - DisplayMessage	 Please input valid data	Gültige Daten bitte eingeben.
OptionsPage.frm - DisplayMessage	 Please Press Apply to confirm Changes.	"Bitte auf ""Anwenden"" klicken, um die Änderungen zu bestätigen.."
ClearLineScreen.frm - DisplayMessage	 Please press left mouse button on the area to be filled. The percentage of the pipe diameter filled will be displayed in the box to the bottom left of the screen.	Bitte mit der linken Maustaste den zu füllenden Bereich anklicken. Der gefüllte Anteil des Rohrquerschnitts wird im Kästchen unten links auf dem Bildschirm in Prozent angezeigt.
ClearLineScreen.frm - DisplayMessage	 Please remember to register the ClearLine Profiler software.	"Denken Sie bitte daran, die ClearLine Profiler-Software zu registrieren."
ClearLineScreen.frm - DisplayMessage	 Please select a reference circle first.	Bitte zuerst einen Bezugskreis auswählen
ClearLineScreen.frm - DisplayMessage	 Please specify a valid Expected Internal Diameter before calibrating	"Geben Sie bitte einen gültigen, zu erwartenden Innendurchmesser ein, bevor Sie die Kalibrierung durchführen."
ClearLineScreen.frm - DisplayMessage	 Please specify internal diameter first.	Geben Sie zuerst den Innendurchmesser ein.
AutoTune.frm - DisplayMessage	 Please specify internal pipe diameter first.	Bitte zuerst den Rohrinnendurchmesser eingeben.
ClearLineScreen.frm - DisplayMessage	 Please Try Mixed or Software Vertexing	Versuchen Sie es bitte mit gemischtem oder Software-Vertexing
ClearLineScreen.frm - DisplayMessage	 Please Try Software Vertexing	Versuchen Sie es bitte mit Software-Vertexing
ControlsScreen.frm - ToolTipText	 PolyLine	Mehrfach-Linie
ClearLineScreen.frm - DisplayMessage	 Precision Vision	PrecisionVision
ControlsMain.frm - ToolTipText	 Precision Vision Graphs	PrecisionVision-Grafiken
ControlsMain.frm - ToolTipText	 Precision Vision settings	PrecisionVision-Einstellungen
PageFunctions.bas - DisplayMessage	" Press Yes to Locate a Video File, No to continue without a Video File loaded."	"Wählen Sie ""Ja"", um eine Videodatei zu suchen oder ""Nein"", um fortzufahren, ohne eine Videodatei zu laden."
PVReport4in1.frm - ToolTipText	 Print	Drucken
PVReport4in1.frm - Caption	 Printed:	gedruckt:
PVReportProfile.frm - Caption	 PrinterSettings	Druckereinstellungen
DebugForm.frm - Caption	 Process Image	Bild bearbeiten
Distance.frm - Caption	 Process Method	Verarbeitungsmethode
CLPProgressBar.frm - Caption	 Processing	Verarbeitung
ClearLineScreen.frm - DisplayMessage	 Processing Data	Daten werden bearbeitet
SonarConfig.frm - Caption	 Product No	Produkt-Nr.
ControlsReports.frm - Caption	 Profile	Profil
ControlsScreen.frm - ToolTipText	 Profile Report	Profilbericht
ClearLineScreen.frm - Caption	 Profiler Screen	Profiler-Bildschirm
SonarConfig.frm - Caption	 Pulse Size	Impulslänge
ControlsReports.frm - Caption	 PV Graph	PV-Grafik
ClearLineTitle.frm - Caption	 PV Screen	PV-Bildschirm
DebugForm.frm - Caption	 Radius	Radius
Distance.frm - Caption	 Recalculate Distance Scale	Entfernungsmaßstab neu berechnen
ScreenDrawing.bas - DisplayMessage	 Recalculate PV Data	PV-Daten neu berechnen
ControlsScreen.frm - ToolTipText	 Record	Aufnahme
ControlsReference.frm - Caption	 Reference	Bezug
PipelineDetails.frm - Caption	 Reference Shape	Bezugsprofil
DebugForm.frm - Caption	 Refernce Shape Control	Bezugsprofilkontrolle
Registration.frm - Caption	 Reg Code	Registrierungscode
Registration.frm - Caption	 Register	Registrieren
V6Splash.frm - Caption	 Register Now	Jetzt registrieren
Registration.frm - Caption	 Registration	Registrierung
SonarConfig.frm - Caption	 Registration Code	Registrierungscode
Registration.frm - DisplayMessage	 Registration Failed. Please Check your Registration Code.	Registrierung fehlgeschlagen. Überprüfen Sie bitte Ihren Registriercode.
Registration.frm - DisplayMessage	 Registration Request Sent.	Registrieranmeldung gesendet.
InstallationForm.frm - Caption	 Registration type	Registrierungstyp
ClearLineScreen.frm - DisplayMessage	 Re-Painting	Farben ändern
ReportingFunctions.bas - DisplayMessage	 Report saved to PVD	Bericht mit der PVD gespeichert
ControlsScreen.frm - ToolTipText	 Reports	Berichte
PVReportProfile.frm - Caption	 Reset to default	auf Vorgabe setzen
ControlsScreen.frm - ToolTipText	 Reset tools	Tools auf Vorgabe setzen
V6Splash.frm - Caption	 Revision	Revisionsnummer
PipelineDetails.frm - DisplayMessage	 RinkerEllipse	Ellipsenprofile
DebugForm.frm - Caption	 Rotate Left	nach links drehen
ControlsScreen.frm - ToolTipText	 Rotate pipe anti-clockwise	Rohr nach links drehen
ControlsScreen.frm - ToolTipText	 Rotate pipe clockwise	Rohr nach rechts drehen
DebugForm.frm - Caption	 Rotate Right	nach rechts drehen
SonarConfig.frm - Caption	 SampleRate	Messfolge
SonarConfig.frm - Caption	 Samples	Messpunkte
Fisheye.frm - Caption	 Save	Speichern
DebugForm.frm - Caption	 Save Grid	Gitter speichern
PVReport4in1.frm - ToolTipText	 Save Report To PVD	Bericht mit der PVD speichern
DebugForm.frm - Caption	 Save Rotated Data	Rotationsdaten speichern
ControlsMain.frm - ToolTipText	 Save To File	in Datei speichern
Fisheye.frm - ToolTipText	 Saves calibration setting.	speichert Kalibrierungseinstellung
ControlsMain.frm - DisplayMessage	 Saving to the same file name.	Die Datei wird unter dem gleichen Namen gespeichert.
DebugForm.frm - Caption	 Scale	Maßstab
ClearLineScreen.frm - ToolTipText	 Scale settings	Maßstabseinstellungen
SonarConfig.frm - Caption	 Scanning	Abtastung erfolgt
StartUp.bas - DisplayMessage	 Security failure. Unable to register application.	Sicherheitsfehler. Die Anwendung konnte nicht registriert werden.
ControlsShape.frm - Caption	 Semieliptical	halbelliptisch
ControlsScreen.frm - ToolTipText	 Set Finish Recording Marker	Aufnahme-Endmarkeirung setzen
AutoTune.frm - ToolTipText	 Set Mask	Maske setzen
AutoTune.frm - ToolTipText	 Set Mask Sectors for Centre	Maskensegmente für den Mittelpunkt setzen
DebugForm.frm - Caption	 Set PosX	Pos X setzen
DebugForm.frm - Caption	 Set PosY	Pos Y setzen
DebugForm.frm - Caption	 Set Rot	
ControlsScreen.frm - ToolTipText	 Set Start Recording Marker	Aufnahme-Anfangsmarkierung setzen
AutoTune.frm - ToolTipText	 Set Water / Debris Mask	Wasserstand / Ablagerungen maskieren
ControlsScreen.frm - ToolTipText	 Set Water Level	Wasserstand setzen
InstallationForm.frm - Caption	 Setup	Setup
AutoTune.frm - Caption	 Show settings in video image	Einstellungen in Videobild einblenden
PVReportSingle.frm - Caption	 Site ID:	ID Einsatzort:
ClearLineScreen.frm - DisplayMessage	 SnapShot	Schnappschuss
OptionsPage.frm - DisplayMessage	 Software	Software
ClearLineScreen.frm - Caption	 Solid	Feststoff
ControlsMain.frm - ToolTipText	 Sonar	Sonar
SonarConfig.frm - Caption	 Sonar Config	Sonar-Konfiguration
SonarConfig.frm - Caption	 Sonar Registration	Sonar-Registrierung
ClearLineScreen.frm - DisplayMessage	" Sorry, Hardware Vertexing is not available on your Graphics Processing Unit"	Leider läuft das Hardware-Vertexing nicht auf Ihrer Grafikverarbeitungseinheit
ClearLineScreen.frm - DisplayMessage	" Sorry, Mixed Vertexing is not available on your Graphics Processing Unit"	Leider läuft das gemischte Vertexing nicht auf Ihrer Grafikverarbeitungseinheit
ClearLineScreen.frm - DisplayMessage	" Sorry, Software Vertexing is not available on your Graphics Processing Unit"	Leider läuft das Software-Vertexing nicht auf Ihrer Grafikverarbeitungseinheit
PipelineDetails.frm - DisplayMessage	 Square	Viereck
DebugForm.frm - Caption	 Start	Anfang
AutoTune.frm - Caption	 Start Distance	Startentfernung
PVReport4in1.frm - Caption	 Start Location:	Anfangspunkt:
PipelineDetails.frm - Caption	 Start No	Anfangs-Nr.
PipelineDetails.frm - Caption	 Start Node	Anfangsknoten
Distance.frm - Caption	 Start/Finish Estimate	Wertung beginnen/beenden
Fisheye.frm - ToolTipText	 Starts/Stops automatic calibration.	startet/beendet automatische Kalibrierung
ControlsScreen.frm - ToolTipText	 Step Forward	schrittweise vorspulen
ControlsScreen.frm - ToolTipText	 Step Rewind	schrittweise zurückspulen
SonarConfig.frm - Caption	 Step Size	
Fisheye.frm - Caption	 Stop	Stopp
