 Version=1.5
 English	Translation Swedish
 The ClearLine.inf file is READONLY. You must update ClearLine.ini path manually.	CLEARLINE.ini filen är READONLY. Du måste uppdatera CLEARLINE.ini inträdet manuellt
 The Non-Circular shape functionality is BETA ONLY. Do you wish to proceed?	Den icke-cirkulära formen är BETA ONLY. Vill Du fortsätta
" The PVD file is in a different measurement unit, please alter your measurement units before loading this file."	"PVD-filen har annan måttstandard, ändra dina inställningar innan du laddar in filen."
 There is no recorded data to process	Det finns inga lagrade inspelningar att bearbeta
 There is no Video File associated with this PVD file.	Det finns ingen Video fil koplad till denna PVD-fil
 There is no Video File associated with this PVD file. Would you like to load one now?	Det finns ingen Video fil koplad till denna PVD-fil. Vill du läsa in en nu?
 There must be a media file loaded before recording can take place.	Det måste vara en media fil inläst innan inspelningen kan börja
 This file is not loaded.	Filen är inte inläst
 This function is disabled while recording.	Funktionen är urkopplad medan inspelning pågår
 This hardware cannot run the 3D Application	Hårdvaran stödjer inte 3D applikationen
 ThreeDim.dll is currently 	ThreeDim.dll gäller nu
 ThreeDim.dll VERSION ERROR. Expecting 	ThreeDim.dll Versionsfel. Förväntar
 Tiling Pattern	Delnings Mönster
 Time	Tid
 To	Till
" To open a new file, stop the recording and the video, then open the new file."	"För att öppna en ny fil, stoppa inspelningen och videon, öppna sedan den nya filen"
 Tools	Verktyg
 True Diameter	Verklig diameter
 True Diameter Offset	Verklig diameter offset
 Tuning	Avstämning
 Tuning settings	Avstämningsinställningar
 Turn map view on/off	Slå på/av kartvisningen
 Type	Typ
 unit	enhet
 Units	Enheter
 Unknown Recipient.	Okänd recepient
 Unregistered Copy	Oregistrerad kopia
 Unregistered Software	Oregistrerad mjukvara
 Upgrade Now	Uppgradera nu
 Upper =	Övre =
 Upper limit =	Övre gräns =
 User Name	Användarnamn
 Variation in radius	Variationer i radie
 Version	Version
 Vertical	Vertikal
 Vertical video adjustment	Vertikal video justering
 Video	Video
 Video Device Select	Videoenhet vald
 Video Input Select	Videoingångs val
 Video Input Settings	Videoingångs inställningar
 Video Resolution	Video känslighet
 Viewer	Viewer
 Viewer Copy	Viewer kopia
 Warning this PVD is Read ONLY. Unable to save changes.	"Varning denna PVD är Read ONLY, Går inte att spara ändringar"
 Warning this PVD is Read ONLY. Unable to store report.	"Varning denna PVD är Read ONLY, Går inte att spara rapporter"
" WARNING: If Units are changed, calibration will be reset to default."	Varning: Om måttenheter ändras kommer kalibrering att ändras till grundinställning
 Water / Debris Mask	Vatten/Sediment maskering
 Will you overwrite existing logo file?	Vill Du skriva över aktuell logo-fil ?
" Wrong PVD version, unable to recalculate data"	"Fel PDV version, kan inte återskapa data"
 X Diameter	X Diameter
 X Y Diameter	X Y Diameter
 Y Diameter	Y Diameter
 You must Agree to the End User License Agreement Details before Registering this Product.	Du måste acceptera slutanvändare licensöverenskommelen innan produkten kan registreras
 Your Company Logo could not be found - please remember to load it.	Din företagslogo kan inte återfinnas- kom ihåg att läsa in denna
 Zone	Zon
 Zoom In	Zooma in
 Zoom Out	Zooma ut
